id_origen,origen
1,Ciudadano
2,Institucion
3,Institución -subsecretaria de la mujer de malvinas argentinas
4,Institucion - 137
5,Institucion - afip
6,Institucion - afip - division coordinacion contra el trabajo ilegal
7,"Institucion - agencia territorial posadas, ministerio de trabajo empleo y seguridad social"
8,"Institucion - Apoyo y Seguimiento de las Políticas contra la Trata y Explotacion de Personas del Ministerio de las Mujeres, Generos y Diversidad de la Nación"
9,"Institución - area de niñez municipalidad de hasenkamp, entre ríos"
10,Institución - área de trata del gobierno de la ciudad de bs. as.
11,Institución - asociación de mujeres argentinas por los derechos humanos
12,Institución - caj
13,Institución - caj once caba
14,Institución - centro de acceso a la justicia de la ciudad de bariloche
15,Institución - centro sociocomunitario de responsabilidad penal juvenil
16,Institución - cesac 14
17,"Institución - colectivo de mujeres de san pedro, misiones"
18,"Institución - Comite contra la Trata, Min Trabajo de Nación, de la provincia de Santa Fe"
19,Institución - comite ejecutivo de la lucha contra la trata
20,Institución - consejo provincial contra la trata de personas del ministerio de gobierno y justicia de entre ríos
21,"Institución - consulado argentino de villazon, estado plurinacional de bolivia"
22,Institución - defensoría de moreno
23,Institución - delegación de migraciones de rio gallegos
24,Institución - delegación migraciones de viedma
25,"Institución - dirección de asistencia a mujeres, géneros y diversidad"
26,"Institución - dirección de inspección del trabajo infantil, adolescente e indicios de explotación laboral"
27,"Institución - dirección de inspección del trabajo infantil, adolescente e indicios de explotación laboral (ditiaeiel), del ministerio de trabajo de nación"
28,"Institución - dirección de inspección del trabajo infantil, adolescente e indicios de explotación laboral del ministerio de trabajo, empleo y seguridad social de la nación"
29,Institución - dirección de niñez y adolescencia ituzaingo
30,Institución - dirección nacional de migraciones
31,Institución - dirección nacional de migraciones delegación la plata
32,Institución - dirección nacional de migraciones san juan
33,Institución - escuela de educación secundaria n° 58- villa sarmiento- bs.as.
34,Institución - fundación maría de los ángeles
35,Institución - Fundación Puerta Violeta
36,Institución - hogar
37,Institución - hogares mujeres madres de la ciudad de rosario
38,Institución - hospital de moreno
39,Institución - hospital de san fernando (bs as)
40,Institución - hospital goberandor domingo mercante
41,Institución - hospital pirovano
42,Institución - hospital santojanni
43,Institución - inspector del trabajo y la seguridad social  mteyss
44,Institución - línea 137 del programa víctimas contra la violencia del ministerio de justicia y ddhh de la nación
45,Institución - línea 144
46,Institución - migraciones
47,Institución - ministerio de desarrollo humano
48,Institución - ministerio de educacion buenos aires
49,Institución - ministerio de las mujeres y diversidad sexual de la provincia de buenos aires
50,Institución - ministerio de seguridad
51,Institución - ministerio de trabajo de la  nacion
52,Institución - Ministerio de Trabajo de la Nacion sede Formosa
53,Institución - ministerio de trabajo de la nación y renatre
54,Institución - ministerio de trabajo empleo y seguridad socia
55,"Institución - ministerio de trabajo, empleo y seguridad social de la nación"
56,"Institución - ministerio de trabajo, empleo y seguridad social de la nación, sede misiones"
57,Institución - miniterio de trabajo
58,Institución - municipalidad
59,"Institución - municipalidad de gramilla, santiago del estero"
60,"Institución - municipalidad hasenkamp, entre ríos"
61,Institución - municipio de  lomas de zamora
62,"Institución - oficina de migraciones rawson, chubut"
63,Institución - oficina municipal de derechos humanos
64,Institución - ong no a la trata de personas
65,Institución - ong pibas por la abolición
66,Institución - patronato de liberados
67,Institución - pnr
68,Institución - politicade genero municipal
69,Institución - programa las victimas contra las violencias
70,Institución - Programa Las víctimas contra las Violencias. Subsecretaría de Acceso a la Justica del Ministerio de Justicia y Derechos Humanos de la Nación
71,Institución - programa nacional de rescate
72,Institución - programa víctimas contra las violencias (línea 137)
73,Institución - protex
74,Institución - puesto de salud higuerillas
75,Institución - punto focal
76,Institución - pvcv
77,Institución - registro nacional de información de personas menores extraviadas
78,Institución - registro nacional de trabajadores rurales y empleadores de la delegación corrientes
79,Institución - renatre
80,Institución - renatre santiago del estero
81,Institución - secretaria de igualdad de género de río negro
82,Institución - SECRETARIA DE MUJER DE MORENO
83,Institución - sede migraciones de la plata
84,Institución - servicio local de moron
85,Institución - servicio local de prevencion y promocion de los derechos del niños - la matanza.
86,Institución - servicio social de rosario
87,Institución - servicio zonal de promoción y protección de los derechos del niño de general pueyrredon de la provincia de buenos aires
88,Institución - sindicato de taxis
89,Institución - sub comisario rios- division búsqueda de personas trelew
90,"Institución - subsecretaria de mujer, género y diversidad de godoy cruz"
91,Institución - subsecretaria de trabajo y empleo de mendoza
92,Institución - uatre
93,Institución - uatre coronel belisle rio negro
