"id_subtema","subtema"
"1","911"
"2","Abuso sexual"
"3","Abuso sexual infantil"
"4","Acoso"
"5","Adulto mayor"
"6","Adulto mayor (pami)"
"7","Adultos mayores en riesgo"
"8","Alquiler en contexto de covid-19"
"9","Amenazas"
"10","Aparición"
"11","Aumento de precios por covid 19"
"12","Ciber acoso"
"13","Ciberdelito"
"14","Conducta obscena"
"15","Conflicto familiar"
"16","Consulta sobre trata"
"17","Covid"
"18","Covid- 19 - incumplimiento cuarentena"
"19","Daños a un niños de 4 años"
"20","Datos falsos"
"21","Delitos varios (violaciones, robos...)"
"22","Desaparición"
"23","Desconoce"
"24","Deuda con anses"
"25","En la vía pública"
"26","Estafa y amenazas."
"27","Estupro"
"28","Explotación laboral"
"29","Explotación laboral niñas, niños y adolescentes"
"30","Explotación laboral niñas, niños y adolescentes, violencia física a niños"
"31","Explotación laboral, explotación sexual"
"32","Explotación laboral, oferta laboral engañosa, posible captación"
"33","Explotación laboral, oferta laboral engañosa, posible captación, reducción a la servidumbre o situaciones análogas"
"34","Explotación laboral, posible captación"
"35","Explotación laboral, reducción a la servidumbre o situaciones análogas"
"36","Explotación sexual"
"37","Explotación sexual niñas, niños y adolescentes"
"38","Explotación sexual niñas, niños y adolescentes, pornografía infantil, publicidad de oferta sexual"
"39","Explotación sexual, covid 19"
"40","Explotación sexual, explotación sexual niñas, niños y adolescentes, posible captación, traslado de personas"
"41","Explotación sexual, narcotráfico"
"42","Explotación sexual, oferta laboral engañosa"
"43","Explotación sexual, persona desaparecida"
"44","Explotación sexual, pornografía infantil"
"45","Explotación sexual, posible captación"
"46","Explotación sexual, posible captación, reducción a la servidumbre o situaciones análogas, servidumbre doméstica"
"47","Explotación sexual, posible captación, traslado de personas"
"48","Explotación sexual, reducción a la servidumbre o situaciones análogas"
"49","Extorsión sexual y amenazas"
"50","Extracción forzosa de órganos, tejidos o fluidos"
"51","Faltó aclarar"
"52","Física"
"53","Grooming"
"54","Grooming, pornografía infantil"
"55","Incumplimiento aislamiento social obligatorio por covid-19"
"56","Incumplimiento cuarentena"
"57","Incumplimiento de pago de haberes"
"58","Información sobre la temática"
"59","Intento de secuestro"
"60","Llamada equivocada"
"61","Maltrato infantil"
"62","Matrimonio forzado"
"63","Mendicidad forzada"
"64","Mensaje sos"
"65","Muerte en un penal."
"66","Narcotráfico"
"67","No aplica"
"68","No refiere"
"69","Oferta laboral engañosa"
"70","Oferta laboral engañosa, posible captación"
"71","Ofrecimiento"
"72","Ofrecimiento, ciber acoso"
"73","Ofrecimiento, posible captación"
"74","Ofrecimiento, violencia intrafamiliar"
"75","Pedido de auxilio"
"76","Pedofilia"
"77","Permiso circulacion covid-19"
"78","Permiso para circular"
"79","Permiso para transitar tercera edad"
"80","Persona desaparecida"
"81","Persona desaparecida, posible captación"
"82","Persona desaparecida, venta de niños y otros delitos"
"83","Pervertido"
"84","Pornografía"
"85","Pornografía infantil"
"86","Pornografía infantil, posible captación"
"87","Pornografía infantil, venta de niños y otros delitos, estafa"
"88","Posible abuso sexual"
"89","Posible abuso sexual infantil, violencia física"
"90","Posible captación"
"91","Posible captación, menores de edad en riesgo"
"92","Posible captación, traslado de personas"
"93","Posible demencia señil"
"94","Posible intento de secuestro"
"95","Posible maltrato infantil"
"96","Posible secuestro"
"97","Privacion de la libertad"
"98","Problemas de salud mental"
"99","Promoción y facilitación de la prostitución"
"100","Publicidad de oferta sexual"
"101","Rasgos de problemas de salud mental"
"102","Reducción a la servidumbre o situaciones análogas"
"103","Reducción a la servidumbre o situaciones análogas, traslado de personas"
"104","Residuos via publica"
"105","Robo de identidad"
"106","Salud - vacunación antigripal"
"107","Salud mental"
"108","Secuestro"
"109","Secuestro de menores"
"110","Servidumbre doméstica"
"111","Trabajo infantil"
"112","Traslado de personas"
"113","Trata de personas"
"114","Venta de drogas"
"115","Venta de estupefacientes"
"116","Venta de niños y otros delitos"
"117","Vioalcion a derechos humanos"
"118","Violencia de género"
"119","Violencia familiar"
