Buenos Aires,"-34.61315, -58.37723"
Córdoba,"-31.4135, -64.18105"
Rosario,"-32.94682, -60.63932"
Mendoza,"-32.89084, -68.82717"
San Miguel de Tucumán,"-26.82414, -65.2226"
La Plata,"-34.92145, -57.95453"
Mar del Plata,"-38.00042, -57.5562"
Salta,"-24.7859, -65.41166"
Santa Fe,"-31.64881, -60.70868"
San Juan,"-31.5375, -68.53639"
Resistencia,"-27.46056, -58.98389"
Santiago del Estero,"-27.79511, -64.26149"
Posadas,"-27.36708, -55.89608"
San Salvador de Jujuy,"-24.19457, -65.29712"
Bahía Blanca,"-38.71959, -62.27243"
Paraná,"-31.73271, -60.52897"
Merlo,"-34.66627, -58.72927"
José C. Paz,"-34.51541, -58.76813"
Quilmes,"-34.72904, -58.26374"
Pilar,"-34.45866, -58.9142"
